"Text file 77, 76",Quantities need adding/re-adding...,,
,,,
ID,Name,,Description
00,Shadowflash Lv 1,,Gain a chance to perform a few attacks that instantly defeat non-commander units. Chance increases with hit count. Press ZR to dash a short distance.
01,Shadowflash Lv 2,,Gain a chance to perform several attacks that instantly defeat non-commander units. Chance increases with hit count. Press ZR to dash a moderate distance.
02,Shadowflash Lv 3,,Gain a chance to perform many attacks that instantly defeat non-commander units. Chance increases with hit count. Press ZR to dash a long distance.
03,Divine Pulse Lv 1,,"Press ZR to stop time. A follow-up attack will trigger when time restarts, based on damage dealt during the stoppage. Has a long cooldown time."
04,Divine Pulse Lv 2,,"Press ZR to stop time. A follow-up attack will trigger when time restarts, based on damage dealt during the stoppage. Has a moderate cooldown time."
05,Divine Pulse Lv 3,,"Press ZR to stop time. A follow-up attack will trigger when time restarts, based on damage dealt during the stoppage. Has a short cooldown time."
06,Solar Prominence Lv 1,,Imbue attacks with fire.
07,Solar Prominence Lv 2,,Imbue attacks with powerful fire.
08,Solar Prominence Lv 3,,Imbue attacks with devastating fire.
09,Dark Conjuration Lv 1,,Gain a low chance to impale an attacked enemy with a magic spike. Additional attacks power up the spike. Press ZR to detonate the spike and inflict dark damage based on power level.
0A,Dark Conjuration Lv 2,,Gain a moderate chance to impale an attacked enemy with a magic spike. Additional attacks power up the spike. Press ZR to detonate the spike and inflict dark damage based on power level.
0B,Dark Conjuration Lv 3,,Gain a high chance to impale an attacked enemy with a magic spike. Additional attacks power up the spike. Press ZR to detonate the spike and inflict dark damage based on power level.
0C,Prismatic Resonance Lv 1,,Gain a low chance to spawn musical notes around the unit when performing regular attacks. Attacking the notes triggers elemental shockwaves.
0D,Prismatic Resonance Lv 2,,Gain a moderate chance to spawn musical notes around the unit when performing regular attacks. Attacking the notes triggers elemental shockwaves.
0E,Prismatic Resonance Lv 3,,Gain a high chance to spawn musical notes around the unit when performing regular attacks. Attacking the notes triggers elemental shockwaves.
0F,Maximum Ambulation Lv 1,,At 300 hits and above: gain an increase in speed proportional to hit count.
10,Maximum Ambulation Lv 2,,At 200 hits and above: gain an increase in speed proportional to hit count.
11,Maximum Ambulation Lv 3,,At 150 hits and above: gain an increase in speed proportional to hit count.
12,Personal Space Lv 1,,Press ZR to create a zone of ice that increases critical hit rate. Has a long cooldown time.
13,Personal Space Lv 2,,Press ZR to create a zone of ice that increases critical hit rate. Has a moderate cooldown time.
14,Personal Space Lv 3,,Press ZR to create a zone of ice that increases critical hit rate. Has a short cooldown time.
15,One for the Books Lv 1,,"Hold the button when performing strong attacks to charge the attack, increasing attack range and damage dealt by one tier."
16,One for the Books Lv 2,,"Hold the button when performing strong attacks to charge the attack, increasing attack range and damage dealt by up to two tiers."
17,One for the Books Lv 3,,"Hold the button when performing strong attacks to charge the attack, increasing attack range and damage dealt by up to three tiers."
18,Windstorm Lv 1,,Slightly increase evasion distance. Dodges inflict very minor wind damage.
19,Windstorm Lv 2,,Moderately increase evasion distance. Dodges inflict minor wind damage.
1A,Windstorm Lv 3,,Greatly increase evasion distance. Dodges inflict moderate wind damage.
1B,Easy Breezy Lv 1,,Complete a final regular attack to spawn a pair of wind orbs in front of the unit. The orbs automatically attack in a narrow range.
1C,Easy Breezy Lv 2,,Complete a final regular attack to spawn a pair of wind orbs in front of the unit. The orbs automatically attack in a moderate range.
1D,Easy Breezy Lv 3,,Complete a final regular attack to spawn a pair of wind orbs in front of the unit. The orbs automatically attack in a wide range.
