Ask a Question,,File 15,,,,,
,,,,,,,
Character?,|,Question,|,Comment,|,Correct answer?,|
Byleth M,|,Ask about their likes.,|,"I don't know if ""like"" is the right word, but I find myself helping people almost reflexively.",|,Commend that.,|
Byleth M,|,Ask about their dislikes.,|,"You know, I'm not sure—though I suppose if someone were to harm my father, I could never forgive them.",|,End things there.,|
Byleth M,|,Ask about dreams for the future.,|,I honestly have no idea. I'm not even sure if I'll take over the mercenaries or not.,|,Offer encouragement.,|
Byleth M,|,Ask about their worries.,|,None of my worries would be helped by talking them out.,|,Be relieved.,|
Byleth M,|,Ask about their home.,|,"I have no hometown. As far back as I can remember, I've been traveling with the mercenaries.",|,Be impressed.,|
Byleth M,|,Ask about memories of the past.,|,I remember all of our fights—you're probably the only person I've ever feared on the battlefield.,|,Sympathize.,|
Byleth M,|,Ask about their friends.,|,You have a different aura from my mercenary companions. It was hard to get used to at first.,|,Acknowledge it.,|
Byleth M,|,Ask about preferred fighting style.,|,"Swordwork, as well as the sort of guerrilla warfare I learned from my father.",|,Get competitive over it.,|
Byleth M,|,Ask what they think of you.,|,I feel that you and I are very much alike.,|,Agree.,|
Byleth M,|,Ask what they think of you.,|,"You swore to surpass me one day, but I've not been standing still in the meantime.",|,Nod emphatically.,|
Byleth M,|,Ask about any personal news.,|,"I can still wield a blade, so I must be fine.",|,Extend a challenge.,|
Byleth M,|,Ask about any personal news.,|,"If you're asking how well Jeralt's band is fitting in, I'd say things are...getting better.",|,Be relieved.,|
Byleth F,|,Ask about their likes.,|,"I don't know if ""like"" is the right word, but I find myself helping people almost reflexively.",|,Commend that.,|
Byleth F,|,Ask about their dislikes.,|,"You know, I'm not sure—though I suppose if someone were to harm my father, I could never forgive them.",|,End things there.,|
Byleth F,|,Ask about dreams for the future.,|,I honestly have no idea. I'm not even sure if I'll take over the mercenaries or not.,|,Offer encouragement.,|
Byleth F,|,Ask about their worries.,|,None of my worries would be helped by talking them out.,|,Be relieved.,|
Byleth F,|,Ask about their home.,|,"I have no hometown. As far back as I can remember, I've been traveling with the mercenaries.",|,Be impressed.,|
Byleth F,|,Ask about memories of the past.,|,I remember all of our fights—you're probably the only person I've ever feared on the battlefield.,|,Sympathize.,|
Byleth F,|,Ask about their friends.,|,You have a different aura from my mercenary companions. It was hard to get used to at first.,|,Acknowledge it.,|
Byleth F,|,Ask about preferred fighting style.,|,"Swordwork, as well as the sort of guerrilla warfare I learned from my father.",|,Get competitive over it.,|
Byleth F,|,Ask what they think of you.,|,I feel that you and I are very much alike.,|,Agree.,|
Byleth F,|,Ask what they think of you.,|,"You swore to surpass me one day, but I've not been standing still in the meantime.",|,Nod emphatically.,|
Byleth F,|,Ask about any personal news.,|,"I can still wield a blade, so I must be fine.",|,Extend a challenge.,|
Byleth F,|,Ask about any personal news.,|,"If you're asking how well Jeralt's band is fitting in, I'd say things are...getting better.",|,Be relieved.,|
Edelgard,|,Ask about their likes.,|,"I adore nature, which is precisely why I treasure days such as this.",|,Smile.,|
Edelgard,|,Ask about their dislikes.,|,"I dislike convention. I can't stand missing a good opportunity simply because I'm ""not supposed to.""",|,State your thoughts.,|
Edelgard,|,Ask about dreams for the future.,|,"My dream is to sit about and simply do...nothing. Sadly, there's so much demanded of me it will likely remain a dream until my final days.",|,Give a pep talk.,|
Edelgard,|,Ask about their worries.,|,"Oh, I could go on and on about all of my intractable problems. How much time do you have?",|,Act dependable.,|
