File 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Comment,Mastery,Shez M,Shez F,Byleth M,Byleth F,Edelgard,Hubert,Dorothea,Ferdinand,Bernadetta,Caspar,Petra,Linhardt,Dimitri,Dedue,Felix,Mercedes,Ashe,Annette,Sylvain,Ingrid,Claude,Lorenz,Hilda,Raphael,Lysithea,Ignatz,Marianne,Leonie,Yuri,Constance,Balthus,Hapi,Manuela,Hanneman?,Seteth,Flayn,Cyril?,Catherine,Alois?,Gilbert?,Shamir,Jeralt,Rhea,Anna?,Jeritza,Rodrigue,Monica,Holst,?,?,?,Sothis,Arval M,Gatekeeper,Arval F
00,(Noble?),none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,(Commoner?),none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Myrmidon,1-star,Spd +2,Spd +2,Spd +2,Spd +2,Rebellious Spirit,Rebellious Spirit,Spd +2,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Spd +2,Rebellious Spirit,Rebellious Spirit,Spd +2,Rebellious Spirit,Spd +2,Spd +2,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Spd +2,Rebellious Spirit,Spd +2,Rebellious Spirit,Spd +2,Spd +2,Rebellious Spirit,Rebellious Spirit,Spd +2,Spd +2,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Spd +2,Rebellious Spirit,Spd +2,Spd +2,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Rebellious Spirit,Spd +2,Spd +2,Spd +2
,,2-star,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess,Sword Prowess
,,3-star,Flash Strike,Flash Strike,Flash Strike,Flash Strike,Flash Strike,Grounder,Grounder,Flash Strike,Grounder,Flash Strike,Grounder,Flash Strike,Grounder,Grounder,Grounder,Grounder,Flash Strike,Flash Strike,Grounder,Grounder,Flash Strike,Grounder,Flash Strike,Grounder,Flash Strike,Flash Strike,Grounder,Grounder,Flash Strike,Grounder,Grounder,Grounder,Grounder,Grounder,Grounder,Flash Strike,Grounder,Grounder,Grounder,Grounder,Grounder,Grounder,Grounder,Flash Strike,Grounder,Grounder,Flash Strike,Grounder,Flash Strike,Flash Strike,Flash Strike,Flash Strike,Flash Strike,Flash Strike,Flash Strike
03,Soldier,1-star,Backbone,Backbone,Backbone,Backbone,Backbone,Max HP +500,Max HP +500,Backbone,Backbone,Backbone,Backbone,Backbone,Backbone,Max HP +500,Backbone,Max HP +500,Backbone,Backbone,Max HP +500,Backbone,Backbone,Max HP +500,Max HP +500,Backbone,Backbone,Backbone,Backbone,Max HP +500,Backbone,Backbone,Max HP +500,Backbone,Max HP +500,Backbone,Max HP +500,Max HP +500,Backbone,Max HP +500,Backbone,Backbone,Max HP +500,Max HP +500,Max HP +500,Backbone,Backbone,Max HP +500,Backbone,Max HP +500,Backbone,Backbone,Backbone,Max HP +500,Max HP +500,Max HP +500,Max HP +500
,,2-star,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess
,,3-star,Knightkneeler,Knightkneeler,Knightkneeler,Knightkneeler,Wheelsweep,Wheelsweep,Knightkneeler,Wheelsweep,Wheelsweep,Wheelsweep,Knightkneeler,Wheelsweep,Wheelsweep,Knightkneeler,Wheelsweep,Knightkneeler,Knightkneeler,Wheelsweep,Knightkneeler,Knightkneeler,Wheelsweep,Wheelsweep,Wheelsweep,Knightkneeler,Wheelsweep,Knightkneeler,Wheelsweep,Knightkneeler,Knightkneeler,Wheelsweep,Wheelsweep,Knightkneeler,Knightkneeler,Wheelsweep,Wheelsweep,Wheelsweep,Wheelsweep,Wheelsweep,Knightkneeler,Wheelsweep,Knightkneeler,Knightkneeler,Wheelsweep,Wheelsweep,Wheelsweep,Wheelsweep,Wheelsweep,Wheelsweep,Wheelsweep,Wheelsweep,Wheelsweep,Wheelsweep,Knightkneeler,Knightkneeler,Knightkneeler
04,Fighter,1-star,Spirited Seize,Spirited Seize,Spirited Seize,Spirited Seize,Spirited Seize,Str +2,Str +2,Spirited Seize,Str +2,Spirited Seize,Spirited Seize,Spirited Seize,Str +2,Str +2,Spirited Seize,Str +2,Spirited Seize,Spirited Seize,Str +2,Str +2,Spirited Seize,Str +2,Spirited Seize,Str +2,Spirited Seize,Spirited Seize,Str +2,Str +2,Spirited Seize,Str +2,Str +2,Str +2,Str +2,Str +2,Str +2,Spirited Seize,Str +2,Str +2,Str +2,Str +2,Str +2,Str +2,Str +2,Spirited Seize,Str +2,Str +2,Spirited Seize,Str +2,Spirited Seize,Spirited Seize,Spirited Seize,Spirited Seize,Spirited Seize,Spirited Seize,Spirited Seize
,,2-star,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Bow Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Bow Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Brawling Prowess,Axe Prowess,Bow Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Brawling Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Bow Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess,Axe Prowess
